order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
6625178717.0,74906.0,2023-07-01 04:40:22,2023-07-01 04:53:22,13.0,4.22,Slightly Delayed,Traffic
7169557514.0,79516.0,2023-03-21 05:38:13,2023-03-21 05:50:13,12.0,3.28,Slightly Delayed,Traffic
2268306684.0,65733.0,2024-05-28 15:11:08,2024-05-28 15:10:08,-1.0,1.82,On Time,
6905293278.0,53868.0,2024-06-16 10:36:23,2024-06-16 11:02:23,26.0,0.58,Significantly Delayed,Traffic
1769493463.0,22954.0,2024-06-26 07:29:47,2024-06-26 07:24:47,-5.0,1.21,On Time,
5003387344.0,21004.0,2024-06-23 11:05:47,2024-06-23 11:00:47,-5.0,4.52,On Time,
2064484752.0,43022.0,2024-05-07 23:00:49,2024-05-07 22:55:49,-5.0,2.29,On Time,
964822979.0,42914.0,2024-07-13 10:49:00,2024-07-13 10:47:00,-2.0,1.09,On Time,
6037899648.0,59131.0,2024-03-27 18:00:43,2024-03-27 18:04:43,4.0,4.56,On Time,Traffic
9347571484.0,88612.0,2024-11-02 17:26:15,2024-11-02 17:39:15,13.0,3.29,Slightly Delayed,Traffic
3286177534.0,90038.0,2023-06-25 00:09:15,2023-06-25 00:07:15,-2.0,3.07,On Time,
9073572548.0,28575.0,2023-05-02 23:25:42,2023-05-02 23:47:42,22.0,4.77,Significantly Delayed,Traffic
8395583761.0,84816.0,2024-08-04 23:53:44,2024-08-04 23:48:44,-5.0,3.53,On Time,
6355378227.0,23910.0,2023-08-11 17:06:36,2023-08-11 17:05:36,-1.0,3.91,On Time,
277376321.0,78589.0,2024-07-28 04:45:12,2024-07-28 04:44:12,-1.0,3.85,On Time,
8559748526.0,93002.0,2023-04-05 18:27:19,2023-04-05 18:28:19,1.0,0.94,On Time,Traffic
1458051433.0,61040.0,2024-04-26 09:30:56,2024-04-26 09:26:56,-4.0,2.75,On Time,
5838302640.0,30907.0,2023-05-12 06:02:25,2023-05-12 06:09:25,7.0,1.7,Slightly Delayed,Traffic
1380971977.0,52614.0,2024-06-02 13:21:55,2024-06-02 13:16:55,-5.0,4.09,On Time,
1221099013.0,60689.0,2023-07-23 11:01:59,2023-07-23 11:03:59,2.0,3.15,On Time,Traffic
6771166303.0,98179.0,2023-07-24 04:36:07,2023-07-24 04:48:07,12.0,2.55,Slightly Delayed,Traffic
7111337755.0,84833.0,2023-05-06 06:07:44,2023-05-06 06:04:44,-3.0,3.44,On Time,
5562922993.0,73904.0,2023-12-06 02:14:19,2023-12-06 02:17:19,3.0,1.64,On Time,Traffic
5630957897.0,14408.0,2024-06-18 07:32:42,2024-06-18 07:36:42,4.0,3.92,On Time,Traffic
1787380558.0,95835.0,2023-11-08 17:43:58,2023-11-08 17:45:58,2.0,2.8,On Time,Traffic
32613017.0,77303.0,2023-03-17 00:36:41,2023-03-17 00:36:41,0.0,4.0,On Time,
2039041670.0,31963.0,2024-11-01 10:05:47,2024-11-01 10:20:47,15.0,2.12,Slightly Delayed,Traffic
210693801.0,14789.0,2024-08-21 04:10:25,2024-08-21 04:12:25,2.0,2.5,On Time,Traffic
8120002258.0,61526.0,2024-01-01 00:15:08,2024-01-01 00:11:08,-4.0,2.43,On Time,
2177917034.0,75636.0,2024-02-08 20:16:51,2024-02-08 20:25:51,9.0,0.73,Slightly Delayed,Traffic
4254814926.0,1761.0,2024-04-21 06:34:58,2024-04-21 06:33:58,-1.0,1.74,On Time,
6074172790.0,3481.0,2023-07-26 02:26:37,2023-07-26 02:30:37,4.0,2.48,On Time,Traffic
3381573131.0,50582.0,2024-07-16 00:47:21,2024-07-16 00:42:21,-5.0,4.91,On Time,
3773745777.0,97135.0,2024-05-02 14:58:25,2024-05-02 14:58:25,0.0,3.31,On Time,
9251939156.0,57095.0,2023-12-30 12:51:53,2023-12-30 12:58:53,7.0,2.35,Slightly Delayed,Traffic
3872982303.0,60234.0,2024-02-03 01:24:33,2024-02-03 01:25:33,1.0,2.6,On Time,Traffic
2625987757.0,51273.0,2023-08-01 07:54:43,2023-08-01 07:56:43,2.0,4.7,On Time,Traffic
3162249401.0,47552.0,2024-05-03 13:31:58,2024-05-03 13:31:58,0.0,1.72,On Time,
3108986741.0,60867.0,2023-10-17 19:43:19,2023-10-17 19:44:19,1.0,2.09,On Time,Traffic
1851474741.0,12879.0,2023-11-01 13:42:17,2023-11-01 13:51:17,9.0,4.09,Slightly Delayed,Traffic
2425099132.0,44245.0,2023-08-15 01:30:08,2023-08-15 01:34:08,4.0,1.07,On Time,Traffic
6706793332.0,76503.0,2024-10-09 22:04:33,2024-10-09 22:16:33,12.0,2.99,Slightly Delayed,Traffic
2149289255.0,25251.0,2024-11-01 15:20:29,2024-11-01 15:39:29,19.0,2.56,Significantly Delayed,Traffic
1971008155.0,30330.0,2023-10-23 22:43:41,2023-10-23 22:39:41,-4.0,0.86,On Time,
2087093460.0,27478.0,2024-07-11 11:42:57,2024-07-11 11:41:57,-1.0,0.77,On Time,
2116712588.0,34078.0,2023-11-11 20:48:38,2023-11-11 20:51:38,3.0,4.26,On Time,Traffic
6054358790.0,52564.0,2024-01-26 10:31:06,2024-01-26 10:26:06,-5.0,3.96,On Time,
532660797.0,97547.0,2024-05-20 06:37:18,2024-05-20 06:51:18,14.0,4.9,Slightly Delayed,Traffic
1491991005.0,85285.0,2024-03-04 09:01:03,2024-03-04 09:01:03,0.0,0.89,On Time,
4136019599.0,34667.0,2024-03-23 18:52:14,2024-03-23 18:55:14,3.0,4.58,On Time,Traffic
2122832513.0,39396.0,2024-02-17 19:58:14,2024-02-17 20:18:14,20.0,3.97,Significantly Delayed,Traffic
3717703595.0,8041.0,2023-04-24 21:52:02,2023-04-24 21:51:02,-1.0,2.48,On Time,
3194733693.0,16623.0,2023-07-05 10:30:13,2023-07-05 10:37:13,7.0,1.74,Slightly Delayed,Traffic
4471162437.0,54708.0,2024-02-06 12:52:50,2024-02-06 12:52:50,0.0,3.78,On Time,
1609331948.0,58721.0,2024-01-04 14:19:21,2024-01-04 14:19:21,0.0,1.56,On Time,
6920030794.0,38745.0,2024-06-24 02:51:36,2024-06-24 02:49:36,-2.0,3.47,On Time,
5127172657.0,80034.0,2024-06-11 18:30:31,2024-06-11 18:50:31,20.0,4.41,Significantly Delayed,Traffic
8607115856.0,85718.0,2023-10-09 04:52:34,2023-10-09 04:49:34,-3.0,2.33,On Time,
7154957395.0,63099.0,2023-04-09 10:21:33,2023-04-09 10:21:33,0.0,2.28,On Time,
2070762702.0,64950.0,2023-10-04 10:37:55,2023-10-04 10:52:55,15.0,3.61,Slightly Delayed,Traffic
3697242439.0,67408.0,2024-10-15 12:47:13,2024-10-15 12:46:13,-1.0,4.71,On Time,
3063427913.0,24100.0,2023-09-21 02:34:46,2023-09-21 02:37:46,3.0,4.76,On Time,Traffic
2060061337.0,50748.0,2023-04-15 23:10:08,2023-04-15 23:22:08,12.0,3.08,Slightly Delayed,Traffic
4625892678.0,40337.0,2023-06-18 19:35:45,2023-06-18 19:39:45,4.0,2.74,On Time,Traffic
6045698170.0,16848.0,2024-01-24 17:14:49,2024-01-24 17:19:49,5.0,3.86,On Time,Traffic
7876289647.0,28786.0,2024-08-07 08:06:29,2024-08-07 08:18:29,12.0,2.54,Slightly Delayed,Traffic
3434084714.0,58201.0,2024-02-02 03:06:20,2024-02-02 03:04:20,-2.0,3.51,On Time,
9031695663.0,43200.0,2024-01-17 01:35:06,2024-01-17 01:41:06,6.0,3.71,Slightly Delayed,Traffic
1955989715.0,8135.0,2023-12-27 07:06:23,2023-12-27 07:08:23,2.0,4.81,On Time,Traffic
3459500455.0,20504.0,2023-12-18 00:52:55,2023-12-18 00:54:55,2.0,2.66,On Time,Traffic
5953376503.0,34929.0,2024-05-25 04:08:54,2024-05-25 04:24:54,16.0,0.56,Significantly Delayed,Traffic
121874867.0,69733.0,2023-03-28 01:10:55,2023-03-28 01:05:55,-5.0,3.08,On Time,
2460545397.0,50527.0,2024-10-27 11:38:03,2024-10-27 11:49:03,11.0,2.53,Slightly Delayed,Traffic
9690050839.0,76868.0,2024-01-13 02:44:24,2024-01-13 02:49:24,5.0,3.82,On Time,Traffic
2574349065.0,406.0,2024-04-17 14:43:32,2024-04-17 14:44:32,1.0,1.72,On Time,Traffic
2461936988.0,77590.0,2023-07-20 23:29:57,2023-07-20 23:48:57,19.0,4.4,Significantly Delayed,Traffic
6447596416.0,45656.0,2023-10-08 18:30:29,2023-10-08 18:26:29,-4.0,4.27,On Time,
7228452275.0,96211.0,2023-05-13 01:25:33,2023-05-13 01:25:33,0.0,4.62,On Time,
6696750742.0,89976.0,2023-04-02 17:54:16,2023-04-02 17:54:16,0.0,4.39,On Time,
822235931.0,1773.0,2023-08-09 07:27:16,2023-08-09 07:42:16,15.0,1.42,Slightly Delayed,Traffic
7678251499.0,60822.0,2023-04-23 13:37:40,2023-04-23 13:42:40,5.0,1.85,On Time,Traffic
2497341976.0,42711.0,2023-09-21 09:19:49,2023-09-21 09:20:49,1.0,1.33,On Time,Traffic
9107314128.0,21125.0,2024-05-20 16:37:17,2024-05-20 16:36:17,-1.0,2.2,On Time,
9855726256.0,59743.0,2023-05-17 08:05:53,2023-05-17 08:03:53,-2.0,0.96,On Time,
9398719862.0,4852.0,2024-07-19 09:40:31,2024-07-19 09:44:31,4.0,0.85,On Time,Traffic
379494532.0,99227.0,2024-07-07 13:42:33,2024-07-07 13:44:33,2.0,3.39,On Time,Traffic
1048784963.0,35552.0,2023-09-07 13:35:38,2023-09-07 13:30:38,-5.0,2.18,On Time,
4386246924.0,56384.0,2024-08-27 10:26:15,2024-08-27 10:52:15,26.0,3.44,Significantly Delayed,Traffic
2050362692.0,16076.0,2024-10-30 11:36:04,2024-10-30 11:39:04,3.0,3.48,On Time,Traffic
4142963293.0,74308.0,2024-11-03 04:04:46,2024-11-03 04:07:46,3.0,1.26,On Time,Traffic
9753528654.0,63454.0,2024-07-26 07:35:16,2024-07-26 07:33:16,-2.0,1.84,On Time,
8126970833.0,83636.0,2024-09-14 20:41:40,2024-09-14 21:07:40,26.0,1.13,Significantly Delayed,Traffic
9747814712.0,33342.0,2023-12-16 15:52:05,2023-12-16 15:55:05,3.0,1.23,On Time,Traffic
6281619403.0,12086.0,2023-04-09 19:15:42,2023-04-09 19:10:42,-5.0,4.51,On Time,
436184281.0,59936.0,2023-11-20 12:55:18,2023-11-20 13:22:18,27.0,0.74,Significantly Delayed,Traffic
9799231260.0,58378.0,2024-03-07 09:17:56,2024-03-07 09:21:56,4.0,0.9,On Time,Traffic
4071811527.0,27993.0,2023-07-26 15:51:48,2023-07-26 16:00:48,9.0,2.39,Slightly Delayed,Traffic
5645359563.0,45180.0,2024-08-08 23:45:23,2024-08-08 23:40:23,-5.0,4.78,On Time,
9411813703.0,32773.0,2023-09-25 23:11:09,2023-09-25 23:16:09,5.0,0.65,On Time,Traffic
4270217473.0,4904.0,2024-02-01 09:02:55,2024-02-01 09:02:55,0.0,1.23,On Time,
279851011.0,73623.0,2023-04-11 09:58:14,2023-04-11 09:57:14,-1.0,4.34,On Time,
6260524887.0,22883.0,2024-06-01 07:00:44,2024-06-01 06:56:44,-4.0,3.76,On Time,
5853998391.0,23606.0,2023-09-08 02:58:14,2023-09-08 02:55:14,-3.0,4.67,On Time,
9931976872.0,97297.0,2024-06-24 05:32:20,2024-06-24 05:28:20,-4.0,3.03,On Time,
8432209832.0,18907.0,2024-03-20 03:42:23,2024-03-20 03:54:23,12.0,4.17,Slightly Delayed,Traffic
6023721507.0,72197.0,2024-04-07 00:36:29,2024-04-07 00:35:29,-1.0,2.05,On Time,
3042338919.0,70995.0,2023-05-17 15:05:39,2023-05-17 15:02:39,-3.0,1.33,On Time,
233646065.0,56968.0,2023-09-19 22:43:29,2023-09-19 22:48:29,5.0,4.89,On Time,Traffic
9870610018.0,44706.0,2024-02-08 05:36:21,2024-02-08 05:35:21,-1.0,0.86,On Time,
1398230967.0,92744.0,2024-04-22 10:13:26,2024-04-22 10:09:26,-4.0,4.81,On Time,
8615488922.0,1328.0,2023-11-04 00:21:14,2023-11-04 00:42:14,21.0,3.94,Significantly Delayed,Traffic
2748841057.0,11008.0,2023-12-30 05:19:21,2023-12-30 05:43:21,24.0,0.84,Significantly Delayed,Traffic
1375867721.0,21511.0,2024-07-15 17:08:54,2024-07-15 17:05:54,-3.0,4.45,On Time,
8595141097.0,19332.0,2024-03-31 10:36:16,2024-03-31 10:39:16,3.0,4.33,On Time,Traffic
4673382071.0,97477.0,2024-01-16 13:40:12,2024-01-16 13:49:12,9.0,4.9,Slightly Delayed,Traffic
2948696008.0,89164.0,2024-04-10 10:22:48,2024-04-10 10:19:48,-3.0,2.28,On Time,
6839692624.0,44627.0,2023-11-19 02:10:50,2023-11-19 02:35:50,25.0,1.17,Significantly Delayed,Traffic
5770951298.0,4946.0,2023-10-02 18:23:57,2023-10-02 18:21:57,-2.0,0.95,On Time,
5084771819.0,66403.0,2024-08-29 22:05:24,2024-08-29 22:18:24,13.0,1.37,Slightly Delayed,Traffic
422403644.0,23782.0,2023-05-27 23:46:14,2023-05-27 23:54:14,8.0,0.56,Slightly Delayed,Traffic
7176758896.0,75492.0,2023-07-13 13:00:53,2023-07-13 13:01:53,1.0,2.94,On Time,Traffic
8252905093.0,40596.0,2024-04-21 23:29:31,2024-04-21 23:30:31,1.0,3.25,On Time,Traffic
1488561572.0,31495.0,2024-08-27 08:32:40,2024-08-27 08:31:40,-1.0,2.51,On Time,
6212984517.0,15665.0,2024-03-16 22:05:29,2024-03-16 22:03:29,-2.0,1.27,On Time,
6309784337.0,23009.0,2024-05-06 17:53:10,2024-05-06 17:53:10,0.0,4.05,On Time,
4613890018.0,82638.0,2023-10-24 13:00:17,2023-10-24 13:00:17,0.0,3.82,On Time,
3429728472.0,77476.0,2023-03-31 08:48:30,2023-03-31 08:57:30,9.0,1.25,Slightly Delayed,Traffic
267738904.0,73022.0,2023-10-24 23:24:36,2023-10-24 23:38:36,14.0,4.28,Slightly Delayed,Traffic
3850416839.0,32659.0,2024-07-01 02:23:28,2024-07-01 02:36:28,13.0,1.32,Slightly Delayed,Traffic
3412702479.0,35140.0,2023-12-24 07:46:20,2023-12-24 07:51:20,5.0,1.11,On Time,Traffic
2016183232.0,38755.0,2023-07-19 04:35:07,2023-07-19 04:46:07,11.0,1.63,Slightly Delayed,Traffic
3810280204.0,70290.0,2023-10-26 18:06:28,2023-10-26 18:10:28,4.0,0.75,On Time,Traffic
2416767295.0,28144.0,2024-07-05 03:50:54,2024-07-05 03:59:54,9.0,1.13,Slightly Delayed,Traffic
2283439407.0,58922.0,2023-07-14 02:28:09,2023-07-14 02:32:09,4.0,0.57,On Time,Traffic
4328802292.0,66985.0,2023-06-14 19:57:21,2023-06-14 20:15:21,18.0,3.65,Significantly Delayed,Traffic
7072715691.0,82046.0,2023-12-25 19:28:20,2023-12-25 19:29:20,1.0,3.65,On Time,Traffic
5640741373.0,20090.0,2024-05-10 06:57:20,2024-05-10 06:57:20,0.0,4.34,On Time,
6931094066.0,66225.0,2023-11-15 22:18:17,2023-11-15 22:14:17,-4.0,3.82,On Time,
3417088709.0,63738.0,2024-05-30 17:37:44,2024-05-30 17:58:44,21.0,1.29,Significantly Delayed,Traffic
4424404315.0,8506.0,2023-07-16 07:36:04,2023-07-16 07:40:04,4.0,2.43,On Time,Traffic
2444087306.0,75692.0,2023-07-28 08:35:29,2023-07-28 08:37:29,2.0,4.67,On Time,Traffic
486085268.0,90390.0,2023-12-11 19:51:16,2023-12-11 19:56:16,5.0,0.53,On Time,Traffic
1731312620.0,75316.0,2023-05-08 20:42:00,2023-05-08 20:41:00,-1.0,2.13,On Time,
6475582506.0,52304.0,2023-09-23 05:01:27,2023-09-23 05:05:27,4.0,2.09,On Time,Traffic
1868581378.0,38861.0,2024-03-29 18:43:14,2024-03-29 18:47:14,4.0,3.94,On Time,Traffic
8884235937.0,81977.0,2024-08-09 12:01:55,2024-08-09 12:09:55,8.0,4.57,Slightly Delayed,Traffic
4590662628.0,18200.0,2024-01-10 12:02:31,2024-01-10 12:17:31,15.0,2.1,Slightly Delayed,Traffic
992302540.0,12863.0,2023-11-26 21:51:11,2023-11-26 21:54:11,3.0,3.48,On Time,Traffic
7169974633.0,69861.0,2024-10-16 16:22:22,2024-10-16 16:21:22,-1.0,2.57,On Time,
6703651257.0,4285.0,2024-01-17 01:43:31,2024-01-17 01:46:31,3.0,2.43,On Time,Traffic
7180810221.0,59848.0,2023-09-10 16:58:46,2023-09-10 17:07:46,9.0,0.51,Slightly Delayed,Traffic
7875587578.0,40025.0,2024-07-15 08:59:10,2024-07-15 09:09:10,10.0,3.53,Slightly Delayed,Traffic
2578671497.0,64618.0,2024-01-25 00:16:47,2024-01-25 00:21:47,5.0,0.79,On Time,Traffic
6284350691.0,9053.0,2024-06-20 01:13:52,2024-06-20 01:13:52,0.0,4.5,On Time,
5383261788.0,94840.0,2023-10-18 21:34:10,2023-10-18 21:30:10,-4.0,2.11,On Time,
6590867973.0,23582.0,2023-11-20 08:55:18,2023-11-20 08:54:18,-1.0,0.73,On Time,
8787105023.0,54795.0,2024-05-07 23:09:29,2024-05-07 23:12:29,3.0,3.68,On Time,Traffic
1402916311.0,57649.0,2024-04-23 13:05:28,2024-04-23 13:09:28,4.0,2.72,On Time,Traffic
9715205272.0,21783.0,2024-10-21 22:09:22,2024-10-21 22:11:22,2.0,4.93,On Time,Traffic
3946852375.0,92389.0,2024-07-04 12:45:55,2024-07-04 12:45:55,0.0,4.04,On Time,
3367039425.0,72408.0,2024-03-10 03:58:29,2024-03-10 04:00:29,2.0,1.38,On Time,Traffic
687711388.0,44884.0,2024-02-02 10:28:42,2024-02-02 10:40:42,12.0,1.67,Slightly Delayed,Traffic
647012431.0,94183.0,2024-06-16 13:27:54,2024-06-16 13:45:54,18.0,0.92,Significantly Delayed,Traffic
7143278295.0,89680.0,2024-02-13 15:39:08,2024-02-13 15:35:08,-4.0,1.65,On Time,
9736844695.0,87624.0,2024-04-09 20:18:46,2024-04-09 20:13:46,-5.0,1.4,On Time,
5933289680.0,1722.0,2023-12-07 04:49:24,2023-12-07 05:09:24,20.0,2.24,Significantly Delayed,Traffic
9494303116.0,12071.0,2024-07-21 11:04:40,2024-07-21 11:09:40,5.0,3.87,On Time,Traffic
9337878102.0,15234.0,2023-05-16 04:09:12,2023-05-16 04:05:12,-4.0,0.63,On Time,
6872621077.0,42244.0,2023-09-14 18:29:29,2023-09-14 18:24:29,-5.0,3.42,On Time,
7330237253.0,18688.0,2023-12-07 12:38:17,2023-12-07 12:37:17,-1.0,3.63,On Time,
7942616242.0,76694.0,2023-09-30 08:27:45,2023-09-30 08:52:45,25.0,4.96,Significantly Delayed,Traffic
238520071.0,91088.0,2024-02-20 05:44:38,2024-02-20 05:47:38,3.0,1.92,On Time,Traffic
5812379362.0,68969.0,2023-08-05 11:05:03,2023-08-05 11:01:03,-4.0,4.52,On Time,
2616623847.0,43649.0,2024-01-19 19:22:25,2024-01-19 19:37:25,15.0,4.33,Slightly Delayed,Traffic
2040854480.0,11814.0,2023-12-10 00:22:16,2023-12-10 00:47:16,25.0,2.48,Significantly Delayed,Traffic
5456484560.0,32681.0,2024-09-26 02:10:49,2024-09-26 02:35:49,25.0,3.76,Significantly Delayed,Traffic
883309006.0,23074.0,2024-04-09 08:22:20,2024-04-09 08:30:20,8.0,3.46,Slightly Delayed,Traffic
6528341992.0,50910.0,2024-01-29 03:43:43,2024-01-29 03:54:43,11.0,2.7,Slightly Delayed,Traffic
3263203775.0,38308.0,2024-09-28 15:37:48,2024-09-28 15:36:48,-1.0,3.36,On Time,
3660010934.0,17404.0,2024-01-31 15:44:03,2024-01-31 15:49:03,5.0,2.74,On Time,Traffic
7944885043.0,16741.0,2024-05-26 08:31:38,2024-05-26 08:29:38,-2.0,2.23,On Time,
2506369831.0,62473.0,2023-06-16 13:22:30,2023-06-16 13:35:30,13.0,4.07,Slightly Delayed,Traffic
697061213.0,80729.0,2023-03-25 09:52:55,2023-03-25 09:55:55,3.0,1.48,On Time,Traffic
7079057004.0,16501.0,2023-09-30 09:10:45,2023-09-30 09:32:45,22.0,3.58,Significantly Delayed,Traffic
1556153632.0,45137.0,2024-05-04 08:54:19,2024-05-04 09:03:19,9.0,0.75,Slightly Delayed,Traffic
2161235338.0,96206.0,2024-04-12 15:12:38,2024-04-12 15:21:38,9.0,4.68,Slightly Delayed,Traffic
1247978468.0,30662.0,2024-07-19 02:13:39,2024-07-19 02:12:39,-1.0,1.56,On Time,
5437627061.0,39894.0,2024-08-22 02:15:33,2024-08-22 02:16:33,1.0,4.76,On Time,Traffic
9091960039.0,51540.0,2024-02-11 10:04:55,2024-02-11 10:04:55,0.0,2.76,On Time,
619198317.0,83654.0,2023-11-20 17:16:35,2023-11-20 17:11:35,-5.0,4.77,On Time,
9833179291.0,97223.0,2023-05-04 18:52:00,2023-05-04 18:48:00,-4.0,0.59,On Time,
4148760273.0,55805.0,2024-05-22 01:55:57,2024-05-22 01:58:57,3.0,4.35,On Time,Traffic
7206041763.0,1128.0,2023-05-30 19:35:37,2023-05-30 19:37:37,2.0,2.69,On Time,Traffic
690097648.0,92460.0,2023-12-27 20:30:22,2023-12-27 20:40:22,10.0,1.87,Slightly Delayed,Traffic
4197061567.0,48139.0,2024-02-04 03:31:32,2024-02-04 03:33:32,2.0,0.66,On Time,Traffic
2009394836.0,71878.0,2023-10-24 22:25:10,2023-10-24 22:23:10,-2.0,3.18,On Time,
277502363.0,18055.0,2023-12-28 14:04:57,2023-12-28 14:09:57,5.0,4.14,On Time,Traffic
4356959622.0,94308.0,2024-01-16 07:56:08,2024-01-16 07:51:08,-5.0,3.45,On Time,
174306009.0,35598.0,2024-08-09 00:35:44,2024-08-09 01:02:44,27.0,1.41,Significantly Delayed,Traffic
9582674091.0,16055.0,2024-08-16 11:39:21,2024-08-16 12:01:21,22.0,3.55,Significantly Delayed,Traffic
8675579025.0,13158.0,2024-07-06 12:15:17,2024-07-06 12:17:17,2.0,3.41,On Time,Traffic
5195999941.0,12987.0,2024-07-19 19:07:00,2024-07-19 19:21:00,14.0,2.34,Slightly Delayed,Traffic
5210007923.0,94672.0,2024-10-01 05:24:34,2024-10-01 05:25:34,1.0,2.16,On Time,Traffic
6595771960.0,72175.0,2023-04-05 03:36:22,2023-04-05 03:40:22,4.0,1.75,On Time,Traffic
4247338382.0,85815.0,2023-12-05 02:11:24,2023-12-05 02:40:24,29.0,4.26,Significantly Delayed,Traffic
819143326.0,73801.0,2024-01-10 19:34:29,2024-01-10 19:39:29,5.0,4.37,On Time,Traffic
3830844750.0,95930.0,2023-08-06 16:07:31,2023-08-06 16:04:31,-3.0,4.35,On Time,
1687314172.0,86120.0,2024-03-13 19:00:43,2024-03-13 19:03:43,3.0,3.7,On Time,Traffic
6756007265.0,48609.0,2023-07-27 18:37:10,2023-07-27 18:42:10,5.0,4.05,On Time,Traffic
489762747.0,93825.0,2024-09-27 16:52:39,2024-09-27 17:18:39,26.0,3.26,Significantly Delayed,Traffic
7509195875.0,96839.0,2023-11-26 20:11:46,2023-11-26 20:14:46,3.0,4.89,On Time,Traffic
2370917070.0,13883.0,2023-07-25 06:11:42,2023-07-25 06:16:42,5.0,2.92,On Time,Traffic
2055388266.0,80608.0,2023-06-23 06:41:41,2023-06-23 06:49:41,8.0,1.43,Slightly Delayed,Traffic
8969304162.0,67811.0,2023-10-12 15:03:50,2023-10-12 15:02:50,-1.0,1.66,On Time,
5412674107.0,15617.0,2024-10-06 22:00:05,2024-10-06 22:02:05,2.0,1.75,On Time,Traffic
1536516619.0,44378.0,2023-11-25 08:10:28,2023-11-25 08:15:28,5.0,2.48,On Time,Traffic
3858907413.0,29907.0,2023-07-27 18:45:30,2023-07-27 18:45:30,0.0,4.53,On Time,
4976389251.0,89142.0,2023-09-05 10:13:35,2023-09-05 10:08:35,-5.0,1.42,On Time,
2218319201.0,957.0,2024-11-01 03:12:02,2024-11-01 03:11:02,-1.0,3.58,On Time,
6729422433.0,99898.0,2023-07-19 13:55:45,2023-07-19 14:01:45,6.0,2.81,Slightly Delayed,Traffic
1354097448.0,10089.0,2023-06-21 17:53:21,2023-06-21 17:55:21,2.0,1.71,On Time,Traffic
8952275304.0,95373.0,2024-08-31 08:22:32,2024-08-31 08:22:32,0.0,1.27,On Time,
436603801.0,64535.0,2023-12-28 10:14:53,2023-12-28 10:11:53,-3.0,3.24,On Time,
5273875984.0,60888.0,2023-05-31 03:45:44,2023-05-31 03:59:44,14.0,0.98,Slightly Delayed,Traffic
9290203003.0,44829.0,2024-04-01 12:31:55,2024-04-01 12:36:55,5.0,1.9,On Time,Traffic
6240982373.0,16774.0,2023-04-26 03:27:48,2023-04-26 03:24:48,-3.0,0.97,On Time,
2718348206.0,66580.0,2023-11-08 10:37:06,2023-11-08 10:33:06,-4.0,2.16,On Time,
4903544026.0,7486.0,2024-05-11 04:45:41,2024-05-11 04:50:41,5.0,4.24,On Time,Traffic
2827266949.0,24708.0,2024-09-17 08:10:52,2024-09-17 08:18:52,8.0,0.86,Slightly Delayed,Traffic
4278423074.0,23667.0,2023-12-17 05:02:47,2023-12-17 05:05:47,3.0,1.71,On Time,Traffic
645916247.0,98927.0,2023-10-10 03:03:20,2023-10-10 03:32:20,29.0,3.22,Significantly Delayed,Traffic
